88,1384448,
8566016,14740992,1670400,
8635392,14748672,1731584,
8674304,14762496,1799680,
8714496,14750208,1758464,
8672000,14794240,1767168,
8582912,14756352,1662208,
8568064,14775296,1702144,
8524544,14770944,1675520,
8563968,14740992,1656576,
8539392,14821120,1725696,
8515072,14823680,1575424,
8529664,14833152,1767424,
8500224,14875136,1774080,
8542464,14877696,1811712,
8555264,14887424,1873408,
8546048,14860032,1814272,
8568832,14870272,1842688,
8524032,14821120,1720832,
8521472,14831360,1700864,
8502272,14837504,1692416,
8672768,14799616,1705728,
8642560,14863872,1830912,
8538112,14846464,1752832,
8525824,14748928,1724672,
8499456,14735872,1757184,
8519936,14702336,1682432,
8534784,14728704,1760256,
8547840,14694400,1717760,
8617472,14727424,1751552,
8633088,14767616,1698048,
8578048,14679296,1583104,
8531456,14704640,1628928,
8505344,14685440,1594880,
8497152,14711296,1688064,
8502016,14703872,1707264,
8493568,14676736,1684224,
8494080,14692096,1678592,
8482304,14636544,1601280,
8507392,14656768,1671680,
8478976,14677248,1653760,
8503296,14681856,1665280,
8498688,14754048,1702912,
8528640,14756096,1656064,
8512256,14769920,1712128,
8487168,14754816,1658880,
8487424,14742528,1710080,
8459008,14776064,1688320,
8941056,14847744,1769472,
8573952,14880768,1715456,
8509440,14838016,1614848,
8519936,14813440,1683968,
8519168,14803968,1718016,
8541696,14785536,1687808,
8572672,14769152,1775872,
8633344,14737920,1735424,
8698112,14748928,1792512,
8660992,14743552,1780224,
8560640,14705920,1735424,
8503040,14773504,1798912,
8502272,14745088,1674240,
8508672,14763520,1788416,
8494848,14781440,1785344,
8495872,14738176,1703168,
8506368,14792960,1694976,
8498432,14758912,1666304,
8512768,14771456,1795584,
8483328,14790400,1732352,
8476928,14763008,1711104,
8456192,14810624,1803776,
8506368,14782976,1697792,
8479488,14821120,1828608,
8457216,14778112,1778688,
8463616,14775552,1831936,
8397056,14807296,1793536,
8995840,14912256,1849088,
8482304,14911488,1776896,
8435712,14855936,1692416,
8443392,14823424,1701888,
8443136,14829568,1703424,
8448768,14775040,1648384,
8469504,14807808,1754368,
8519936,14799872,1718272,
8573440,14822656,1852416,
8512768,14828288,1837568,
8431616,14823680,1838336,
8420608,14876416,1814528,
8404992,14804480,1598720,
8435712,14799616,1605120,
8404736,14781440,1664256,
8423680,14749440,1615872,
8429312,14817280,1666560,
8448000,14780160,1607936,
8449024,14786304,1674752,
8441600,14794240,1675264,
8449280,14777088,1704704,
8439296,14770176,1724672,
8459520,14751232,1678848,
8474112,14768128,1694720,
8410112,14786560,1620992,
8432896,14871296,1767680,
8376576,15132160,1919744,
8835584,15584512,2237184,
8535296,15542528,2184960,
8434688,15365120,2018816,
8429824,15242240,2005504,
8427008,15132416,1937152,
8403456,14997504,1858560,
8429312,14781696,1789952,
8406272,14528512,1527296,
8471808,14505216,1565696,
8473088,14577408,1585408,
8383744,14632448,1569792,
8339712,14740736,1623808,
8323584,14743552,1596928,
8315136,14679296,1614336,
8297728,14588160,1551616,
8334592,14629376,1591552,
8345856,14664960,1684224,
8315392,14632448,1656064,
8343808,14689792,1692672,
8351744,14702848,1638656,
8372992,14694912,1719040,
8382976,14743808,1729024,
8389120,14731776,1687296,
8409344,14760704,1749504,
8362240,14735104,1661952,
8382208,14757120,1733376,
8849152,14802432,1865984,
8464128,14754816,1768448,
8442368,14728704,1825536,
8446208,14720000,1712896,
8469248,14718976,1739520,
8488192,14742016,1762816,
8525056,14738432,1778432,
8567296,14762240,1866496,
8627712,14751488,1779456,
8647424,14792448,1891840,
8516352,14782976,1810176,
8487424,14761472,1819648,
8488704,14773504,1870592,
8496640,14734336,1814784,
8517888,14740224,1853952,
8484608,14749440,1758720,
8512768,14736640,1760768,
8498432,14739200,1790208,
8491008,14690816,1745408,
8467712,14712320,1811968,
8483840,14695936,1754368,
8518400,14695424,1794304,
8493824,14697472,1787648,
8487424,14656768,1765888,
8492288,14688768,1837312,
8576768,14658560,1761280,
8768000,14768896,1867008,
8519424,14707968,1737472,
8508928,14685440,1686272,
8529152,14746624,1790208,
8509184,14708736,1719040,
8530944,14727936,1811456,
8561664,14726144,1812736,
8603392,14736896,1816064,
8674304,14779136,1824512,
8583168,14737920,1752576,
8517888,14735616,1828096,
8505856,14725120,1785088,
8481280,14723584,1765376,
8518144,14749440,1769728,
8504320,14706688,1674496,
8531968,14755584,1822720,
8493568,14734592,1761792,
8540160,14733568,1727488,
8538112,14748160,1716736,
8537600,14722304,1643520,
8556288,14774016,1780992,
8498688,14736384,1722368,
8512512,14749696,1737728,
8486144,14753024,1686528,
8886784,14744576,1756672,
8586240,14758400,1756416,
8502272,14648576,1634560,
8498176,14664192,1696000,
8513280,14652672,1661184,
8513280,14621696,1602816,
8579072,14655232,1674752,
8590848,14651136,1610752,
8651008,14722048,1695488,
8643840,14768128,1676544,
8521216,14757632,1708544,
8484096,14759680,1736448,
8460800,14726400,1658880,
8492032,14756352,1740288,
8509184,14812416,1688576,
8512768,14893824,1739264,
8509440,15037696,1765120,
8469248,14946816,1697536,
8523008,14945536,1740032,
8516352,14930944,1687296,
8501760,14901248,1678080,
8490496,14891776,1656832,
8481280,14853632,1594368,
8466176,14852864,1682688,
8921856,14893056,1716992,
8557824,14869248,1613312,
8515328,14842624,1550336,
8506624,14848768,1556224,
8530432,14844928,1575680,
8512512,14827008,1549568,
8545536,14843648,1591040,
8587776,14770176,1523968,
8635136,14625792,1481472,
8614656,14607616,1541376,008,
8628992,14900736,2117888,
8689920,14888960,2084352,
8757248,14959616,2209280,
8769280,14976512,2182400,
814857472,2123008,
8628992,14900736,2117888,
8689920,14888960,2084352,
8757248,14959616,2209280,
8769280,14976512,2182400,
8718080,14963456,2167296,
8643584,14987264,2172672,
8629760,14941952,2134784,
8635136,14988032,2209280,
8636672,14983168,2148352,
8655360,14976512,2199296,
8638208,14955008,2233856,
8655104,14942208,2163712,
8654080,14970368,2178304,
8634880,14979328,2094336,
8653312,15130624,2268160,
8684544,15225600,2322688,
8634880,15196160,2272768,
8634624,15181824,2318592,
8619264,15123200,2217216,
8604928,15068160,2260736,
9077248,15092736,2417664,
8636160,14982912,2161664,
8608256,14906368,2216448,
8601856,14854656,2090496,
8628736,14820096,2059520,
8595712,14804224,2003456,
8613376,14780928,2001920,
8663552,14780416,2040064,
8672256,14802944,2010624,
8660224,14802432,2058240,
8541952,14768896,1990144,
8492544,14770944,1994496,
8465408,14773760,1995008,
8441856,14758144,1954304,
8468480,14780928,2072832,
8445184,14789120,1982720,
8471040,14781184,1987584,
8439808,14777088,1935360,
8422912,14774016,1947136,
8435456,14775296,1994240,
8446464,14809344,1962496,
8431872,14807296,2012416,
8423424,14825728,1987328,
8412672,14841344,1960448,
8390656,14808064,1987840,
8901632,14878976,2150656,
8458752,14828544,2049536,
8438016,14820352,1954816,
8434944,14815488,1941248,
8446976,14832128,2014464,
8436992,14823424,1990656,
8480512,14832128,2016512,
8529664,14856192,2013440,
8573952,14863872,2080256,
8557568,14897152,2059264,
8466176,14853120,2015232,
8450048,14844928,2092032,
8453888,14838528,2028544,
8472320,14844160,2030848,
8492288,14832384,2019584,
8496384,14819328,1967616,
8525056,14876160,2082048,
8459264,14876416,1985536,
8472832,14880768,2058240,
8478720,14889472,2110464,
8511488,15021568,2126336,
8528128,15041024,2161664,
8510464,14998272,2084096,
8522240,14979072,2114816,
8548352,14934784,2090752,
8892160,14975744,2170112,
8540672,14929408,2089216,
8489472,14872832,1993216,
8453632,15042048,2086912,
8457472,15006464,1910272,
8537856,14958336,2177280,
8579840,14981376,2194944,
8579584,14910976,1772288,
8689408,14954496,2140416,
8622848,14905088,2030592,
8496896,14825216,1838848,
8529152,14827008,2024704,
8515328,14766336,1905152,
8522752,14806784,1720320,
8528896,14796032,1921024,
8524288,14769152,1972736,
8491520,14806784,1837056,
8496384,14787328,1875456,
8511232,14810880,1998592,
8494848,14772992,1874944,
8510976,14768384,1893120,
8495360,14774272,1929984,
8485632,14746624,1772288,
8452352,14736384,1903104,
8980992,14803456,2014720,
8494592,14781696,1720320,
8511744,14759680,1847296,
8496640,14767360,1899264,
8455680,14782720,1713152,
8523776,14773760,1915136,
8542208,14806016,1969920,
8517120,14815744,1675264,
8620800,14828032,1983232,
8609280,14840576,1976832,
8481280,14760960,1872896,
8481280,14795776,1966336,
8451584,14760192,1712384,
8483328,14774272,1795840,
8492544,14809856,1905920,
8450816,14777088,1725696,
8486400,14818816,1963264,
8481536,14806016,1888768,
8459008,14833920,1750016,
8487936,14841856,1958144,
8509952,14812160,1898752,
8502016,14852864,1798144,
8498432,14770432,1878784,
8513792,14771200,1910528,
8478720,14778880,1790208,
8749056,14770944,1864704,
8625664,14897408,1985536,
8521728,14795520,1874432,
8501760,14828544,1966080,
8504832,14894080,1973504,
8537856,14882816,1988096,
8525056,14882816,1965568,
8572416,14799616,1800448,
