3728,2457600,
14533120,15529472,1961728,
14520832,15521792,2006528,
14558464,15571456,2007808,
14554112,15514368,2012928,
14685952,15594240,2057216,
14612224,15491072,2037504,
14566912,15571968,1958912,
14507520,15454720,1917440,
14537984,15535360,1944576,
14522880,15384832,1865216,
14523648,15376640,1839360,
14500608,15320064,1774848,
14364928,15222272,1696512,
14433536,15315200,1738496,
14427392,15305216,1748480,
14510336,15502080,1790720,
14491392,15432704,1833216,
14583296,15588608,1896704,
14656000,15597056,1895168,
14967552,15787264,2028288,
14688512,15656960,1976832,
14637824,15661312,1940224,
14652416,15617280,1918208,
14650112,15580416,1945856,
14729472,15615488,1954816,
14714112,15463680,1936128,
14809600,15542016,1950208,
14797312,15458304,1901568,
14822656,15539456,1958144,
14712064,15430656,1854208,
14750464,15596288,1859072,
14721024,15469568,1803264,
14742016,15500544,1836032,
14754304,15484672,1827072,
14793984,15482624,1850624,
14792448,15527936,1887488,
14774784,15471616,1876480,
14842368,15548672,1905920,
14792448,15300096,1784832,
14976512,15524864,1881088,
14910464,15369216,1846528,
15068672,15389184,1891584,
14970880,15329280,1837056,
14920192,15323392,1806336,
14950144,15333888,1768192,
14906880,15275520,1735936,
14952192,15331328,1762816,
14935808,15197696,1745920,
15051776,15330304,1831680,
15010304,15266048,1834496,
15051520,15430144,1910016,
14927104,15289856,1818624,
14940928,15419392,1872128,
14928128,15433728,1839872,
14936832,15474432,1849344,
14968576,15488000,1843712,
14935040,15393280,1797888,
14979840,15421696,1745152,
14964224,15286784,1718272,
15022336,15376640,1708800,
14988800,15259392,1644288,
15034112,15375616,1701632,
15000064,15252224,1605888,
15451392,15334912,1818880,
15076096,15240448,1686016,
15041536,15235072,1653504,
15075840,15275264,1661696,
15077120,15246592,1660928,
15124224,15347456,1662976,
15093504,15206912,1621248,
15196928,15336960,1689600,
15218688,15238656,1666048,
15184128,15355136,1704448,
15105792,15223552,1624832,
15102208,15262208,1586688,
15119616,15234560,1655040,
15100160,15240960,1659136,
15156992,15372544,1752320,
15099648,15318272,1689600,
15147776,15465728,1761792,
15115776,15337984,1649920,
15167744,15503360,1793280,
15077632,15329536,1714944,
15111936,15427840,1701376,
15073280,15300352,1595392,
15630592,15406848,1810944,
15124992,15306240,1587200,
