,time,lead1,lead2,lead3
0,2022-02-11 12:15:03.990459,0,0,0
1,2022-02-11 12:15:04.017423,20000000,20000000,20000000
2,2022-02-11 12:15:04.097217,20000000,20000000,20000000
3,2022-02-11 12:15:04.197281,20000000,20000000,20000000
4,2022-02-11 12:15:04.297829,20000000,20000000,20000000
5,2022-02-11 12:15:04.397420,20000000,20000000,20000000
6,2022-02-11 12:15:04.498147,20000000,20000000,20000000
7,2022-02-11 12:15:04.597192,20000000,20000000,20000000
8,2022-02-11 12:15:04.697272,20000000,20000000,20000000
9,2022-02-11 12:15:04.798050,20000000,20000000,20000000
10,2022-02-11 12:15:04.897751,20000000,20000000,20000000
11,2022-02-11 12:15:04.997625,20000000,20000000,20000000
12,2022-02-11 12:15:05.098160,20000000,20000000,20000000
13,2022-02-11 12:15:05.197572,20000000,20000000,20000000
14,2022-02-11 12:15:05.297305,20000000,20000000,20000000
15,2022-02-11 12:15:05.397823,20000000,20000000,20000000
16,2022-02-11 12:15:05.497248,20000000,20000000,20000000
17,2022-02-11 12:15:05.597514,20000000,20000000,20000000
18,2022-02-11 12:15:05.697711,20000000,20000000,20000000
19,2022-02-11 12:15:05.797409,20000000,20000000,20000000
20,2022-02-11 12:15:05.897589,20000000,20000000,20000000
21,2022-02-11 12:15:05.997322,20000000,20000000,20000000
22,2022-02-11 12:15:06.096703,20000000,20000000,20000000
23,2022-02-11 12:15:06.197899,20000000,20000000,20000000
24,2022-02-11 12:15:06.297177,20000000,20000000,20000000
25,2022-02-11 12:15:06.397075,20000000,20000000,20000000
26,2022-02-11 12:15:06.497208,20000000,20000000,20000000
27,2022-02-11 12:15:06.597375,20000000,20000000,20000000
28,2022-02-11 12:15:06.698077,20000000,20000000,20000000
29,2022-02-11 12:15:06.796943,20000000,20000000,20000000
30,2022-02-11 12:15:06.896540,20000000,20000000,20000000
31,2022-02-11 12:15:06.996580,20000000,20000000,20000000
32,2022-02-11 12:15:07.097000,20000000,20000000,20000000
33,2022-02-11 12:15:07.196965,20000000,20000000,20000000
34,2022-02-11 12:15:07.296969,20000000,20000000,20000000
35,2022-02-11 12:15:07.397133,20000000,20000000,20000000
36,2022-02-11 12:15:07.497276,20000000,20000000,20000000
37,2022-02-11 12:15:07.597221,20000000,20000000,20000000
38,2022-02-11 12:15:07.697141,20000000,20000000,20000000
39,2022-02-11 12:15:07.797043,20000000,20000000,20000000
40,2022-02-11 12:15:07.897279,20000000,20000000,20000000
41,2022-02-11 12:15:07.997069,20000000,20000000,20000000
42,2022-02-11 12:15:08.097165,20000000,20000000,20000000
43,2022-02-11 12:15:08.197293,20000000,20000000,20000000
44,2022-02-11 12:15:08.297196,20000000,20000000,20000000
45,2022-02-11 12:15:08.397268,20000000,20000000,20000000
46,2022-02-11 12:15:08.497314,20000000,20000000,20000000
47,2022-02-11 12:15:08.597053,20000000,20000000,20000000
48,2022-02-11 12:15:08.697434,20000000,20000000,20000000
49,2022-02-11 12:15:08.797155,20000000,20000000,20000000
50,2022-02-11 12:15:08.897412,20000000,20000000,20000000
51,2022-02-11 12:15:08.997314,20000000,20000000,20000000
52,2022-02-11 12:15:09.097315,20000000,20000000,20000000
53,2022-02-11 12:15:09.197277,20000000,20000000,20000000
54,2022-02-11 12:15:09.297332,20000000,20000000,20000000
55,2022-02-11 12:15:09.397008,20000000,20000000,20000000
56,2022-02-11 12:15:09.497393,20000000,20000000,20000000
57,2022-02-11 12:15:09.597156,20000000,20000000,20000000
58,2022-02-11 12:15:09.697118,20000000,20000000,20000000
59,2022-02-11 12:15:09.797109,20000000,20000000,20000000
60,2022-02-11 12:15:09.897355,20000000,20000000,20000000
61,2022-02-11 12:15:09.996976,20000000,20000000,20000000
62,2022-02-11 12:15:10.097306,20000000,20000000,20000000
63,2022-02-11 12:15:10.197282,20000000,20000000,20000000
64,2022-02-11 12:15:10.296695,20000000,20000000,20000000
65,2022-02-11 12:15:10.397389,20000000,20000000,20000000
